Country Name,Country Code,Indicator Name_GDP,GDP_1993,GDP_1994,GDP_1995,GDP_1996,GDP_1997,GDP_1998,GDP_1999,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,Indicator Name_FDI,FDI_1992,FDI_1993,FDI_1994,FDI_1995,FDI_1996,FDI_1997,FDI_1998,FDI_1999,FDI_2000,FDI_2001,FDI_2002,FDI_2003,FDI_2004,FDI_2005,FDI_2006,FDI_2007,FDI_2008,FDI_2009,FDI_2010,FDI_2011,FDI_2012
Bulgaria,BGR,GDP growth (annual %),-1.48021486966819,1.81801131807214,2.86201913980426,5.20539227460284,-14.1153804925786,3.78912019173276,-8.39609123628522,4.58722551038977,3.82370437398085,5.87193118968936,5.23715363472283,6.51042517431171,7.05634921181696,6.80258898745842,6.65438764900219,6.12955879901182,-3.34714136704206,1.55535963462032,2.09017527015538,"Foreign direct investment, net inflows (BoP, current US$)",41500000.0,40000000.0,105400000.0,90400000.0,109000000.0,504800000.0,537317256.150851,818788154.863275,1001503841.99968,812942201.973002,904659791.087721,2096788700.05598,3072550961.81564,4098122930.77933,7874476255.43262,13875270456.9117,10296720633.7242,3896664559.17164,1842900000.0,2103810000.0,1788110000.0
European Union,EUU,GDP growth (annual %),-0.596011342536613,2.70163757041377,2.7249299260873,1.9163281001231,2.68483305962239,2.98173923801347,3.00409945470702,3.93397600338281,2.16135684541501,1.09791361014871,0.937146011650597,2.60021492786822,1.9838230420348,3.56494510886903,3.14214939128463,0.623252926802735,-4.31215064596753,2.18451950204496,1.96120097548305,"Foreign direct investment, net inflows (BoP, current US$)",63652843742.0953,69607140947.9919,72276528046.88,110525979788.387,109979022503.617,116730524556.625,220143311492.528,452758331551.388,634200506229.248,366360079035.895,295298465434.405,293768597752.735,314210792152.141,732553887351.659,914388369612.781,1479575647574.99,825460956900.288,585517909000.086,480128559624.506,903651733603.218,582411385398.083
Low & middle income,LMY,GDP growth (annual %),5.0254252345717,5.14913008963249,4.61022360372831,6.24804385254708,5.67157277023801,3.344858522582,3.66750212317099,5.57393812749338,3.64391735157787,4.79924590094063,5.93458618026183,7.67834621131982,7.36814665027754,8.21743251913875,8.84057667440325,5.94012269204332,4.01920877080724,8.15912984919991,6.36138374553614,"Foreign direct investment, net inflows (BoP, current US$)",34604357445.932,53980876507.5237,74275305661.0986,82348409378.5918,102350694140.615,132254217476.765,135530679108.922,144244351349.644,131959714813.823,151284011262.426,139625643072.571,142497074329.503,183996520246.795,263570913955.902,321176541309.127,443573200403.687,510200139542.764,379713912790.995,560888943538.792,649484369378.281,607025577113.057
Poland,POL,GDP growth (annual %),3.73831029461471,5.292802066626,7.92965956313934,6.09387747385628,6.35890635030509,4.62161133761769,4.69918479192557,4.65633252988236,1.23374464400356,1.90119437968586,3.52337117234833,5.09079546409544,3.26082274679216,6.20210710934373,6.7604478527626,4.38377069274605,2.61512859291683,3.16892748258036,5.25546256612796,"Foreign direct investment, net inflows (BoP, current US$)",678000000.0,1715000000.0,1875000000.0,3659000000.0,4500000000.0,4910000000.0,6383000000.0,7407000000.0,9335000000.0,5677000000.0,4091000000.0,5371000000.0,13868000000.0,11041000000.0,21473000000.0,25031000000.0,14574000000.0,14025000000.0,18861000000.0,18851000000.0,7616000000.0
Russian Federation,RUS,GDP growth (annual %),-8.66854034260423,-12.5697559802151,-4.1435284052602,-3.7550694383594,1.3999158052963,-5.2999616266239,6.39991469144101,10.0000668136515,5.10005122572568,4.69999190914258,7.29995234528189,7.19994786954857,6.39996544799469,8.20006825456321,8.49997776916511,5.19996926404957,-7.79999391271275,4.49999999920672,4.30002918567749,"Foreign direct investment, net inflows (BoP, current US$)",1161000000.0,1210782000.0,689570000.0,2065720000.0,2579330000.0,4864650000.0,2761360000.0,3256530000.0,2678030000.0,2847300000.0,3473830000.0,7928630000.0,15402990000.0,15508050000.0,37594770000.0,55873680000.0,74782910000.0,36583100000.0,43167780000.0,55083630000.0,50587560000.0
Uganda,UGA,GDP growth (annual %),8.32629251939072,6.40363574007452,11.5232438119529,9.07211457909349,5.10000186476283,4.90526548451564,8.05394837724197,3.141907338187,5.18366112490236,8.73268576440127,6.47325867166543,6.80723334361883,6.33256511623156,10.7847443857453,8.41242596551071,8.70875190154499,6.80151734860395,5.63761163749757,9.3916554927176,"Foreign direct investment, net inflows (BoP, current US$)",3000000.0,54600000.0,88200000.0,121200000.0,121000000.0,175000000.0,210000000.0,140200000.0,160700000.0,151496150.651927,184648059.1975,202192593.6185,295416479.800691,379808340.667061,644262499.946512,792305780.891244,728860900.652408,841570802.74764,543872727.272728,894293858.0,1205388487.79374
United States,USA,GDP growth (annual %),2.7517958662618,4.02902272603258,2.68443073360764,3.77277269138068,4.44712793805328,4.48313335029331,4.78842504949371,4.07758576006954,0.95553834188668,1.7004473278454,2.79560596521233,3.84777169424153,3.48354993544559,2.78453963817891,2.00385829909158,0.113587248160997,-2.57650023225001,2.69519258234851,1.56440685537306,"Foreign direct investment, net inflows (BoP, current US$)",30310000000.0,50230000000.0,55940000000.0,69080000000.0,97660000000.0,122150000000.0,211150000000.0,312449000000.0,349125000000.0,172496000000.0,111055000000.0,117106000000.0,213641000000.0,142344000000.0,298463000000.0,346613000000.0,341092000000.0,161083000000.0,264039000000.0,263497000000.0,250345000000.0
World,WLD,GDP growth (annual %),1.84753175060024,3.3494458998,3.10638325216466,3.59003214577143,3.95901825315067,2.85165777689372,3.59628504620287,4.54210198750424,2.04012183503069,2.33132837331642,3.10918339147423,4.48499710004124,4.03861526085021,4.47122116709618,4.38558322159375,2.07395272619118,-1.31959822434678,4.52714707154168,3.34731098254248,"Foreign direct investment, net inflows (BoP, current US$)",186254109231.173,233719685125.695,278764483964.912,361954250962.744,417892664565.981,534152604529.886,795597003323.626,1203676231372.22,1569450275344.47,895740752043.545,751724920043.187,736863608787.169,1009268168651.11,1554656995349.61,2191624795637.05,3114606227901.27,2438661404485.08,1516897946538.82,1843449081122.09,2388393016431.59,2070356643487.23
